CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
15809,10000246504,2010246504,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/17/2010 09:48:00 PM,9XX BLOCK OF N 96TH ST,N,N2,1300.3011,-122.345966048,47.698717666,"(47.698717666, -122.345966048)",,,,
15872,10000246682,2010246682,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/18/2010 12:00:00 AM,2XX BLOCK OF 6TH AVE N,D,D1,7200.1028,-122.345007231,47.62031402,"(47.62031402, -122.345007231)",,,,
15948,10000246702,2010246702,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/18/2010 12:06:00 AM,2XX BLOCK OF DEXTER AVE N,D,D1,7200.1036,-122.342386722,47.620304004,"(47.620304004, -122.342386722)",,,,
15968,10000246807,2010246807,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/18/2010 01:32:00 AM,2XX BLOCK OF 6TH AVE N,D,D1,7200.1028,-122.345007231,47.62031402,"(47.62031402, -122.345007231)",,,,
16018,10000246755,2010246755,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/18/2010 12:41:00 AM,2XX BLOCK OF DEXTER AVE N,D,D1,7200.1036,-122.342386722,47.620304004,"(47.620304004, -122.342386722)",,,,
16034,10000246935,2010246935,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/18/2010 03:00:00 AM,4XX BLOCK OF DENNY WAY,D,D1,7200.1054,-122.348273171,47.618573728,"(47.618573728, -122.348273171)",,,,
16042,10000246811,2010246811,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/18/2010 03:30:00 AM,2XX BLOCK OF 5TH AVE N,D,D1,7200.1026,-122.347606813,47.62022747,"(47.62022747, -122.347606813)",,,,
16048,10000246963,2010246963,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/18/2010 03:43:00 AM,5XX BLOCK OF 5TH AVE,K,K2,8500.3004,-122.328860965,47.603341075,"(47.603341075, -122.328860965)",,,,
16640,10000247695,2010247695,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/18/2010 08:49:00 PM,66XX BLOCK OF 57TH AVE S,R,R3,11102.1013,-122.261808892,47.542803471,"(47.542803471, -122.261808892)",,,,
16788,10000247907,2010247907,125,PROSTITUTION,VICE CALLS,PROSTITUTION,07/19/2010 12:18:00 AM,48XX BLOCK OF S AUSTIN ST,S,S2,11102.4006,-122.271316666,47.534690326,"(47.534690326, -122.271316666)",,,,
